user_id	impression_time	article_ids_inview
U22779	05/21/2023 09:06:50 PM	"N9774516 N9774516 N9771051 N9770028 N9775402 N9774461 N9759544 N9773947 N9142581 N9775331
 N9775371 N9759966"
U150224	05/24/2023 07:31:26 AM	"N9778669 N9778669 N9778736 N9778623 N9089120 N9778661 N9777492 N9778718 N9778657 N9778682
 N9482970 N9718262 N9718298 N9778728 N9080070 N9420172 N9717914 N9777397"
U160892	05/24/2023 07:30:33 AM	"N9778369 N9778369 N9777856 N9778500 N9778021 N9778627 N9778351 N9778155 N9778226 N9777034
 N9778628 N9778448"
U1001055	05/23/2023 05:25:40 AM	N9776715 N9776715 N9776406 N9776566 N9776071 N9776808 N9776246 N9776497 N9776046 N9776855
U1001055	05/23/2023 05:31:54 AM	"N9775202 N9775202 N9776855 N9776688 N9771995 N9776583 N9776553 N9695098 N9776071 N9776691
 N9776449 N9774840 N9776560 N9776246 N9775804 N9776690 N9776369 N9776292 N9776570"
U1001055	05/23/2023 05:32:21 AM	N9776508 N9776508 N9767490 N9776049 N9776544 N9776551 N9775202 N9776385 N9774840
U1001055	05/23/2023 05:30:46 AM	"N9759955 N9759955 N9776449 N9775804 N9776369 N9488213 N9776697 N9776691 N9776570 N9563703
 N9771995 N9775985"
U1469458	05/24/2023 02:25:56 PM	N9776023 N9776023 N9778158 N9776929 N9527795 N7594265
U1469458	05/24/2023 02:23:14 PM	"N9779186 N9779186 N9779289 N9777397 N9779185 N9778813 N9527795 N9778155 N9779184 N9777636
 N9779181 N9776023 N9779242 N9779227 N9779019 N9776929 N9778945 N9778645 N9778915
 N7594265 N9779204 N9777182 N9779288 N9778710 N9779285 N9779355 N9779269 N9695098
 N9779071"
U1470585	05/24/2023 02:48:54 PM	N9779408 N9779408 N9779377 N9779289 N9778945 N9777182 N9779204 N9779383 N9779269 N9779007
U1473460	05/24/2023 02:23:00 PM	"N9778915 N9778915 N9779186 N9779204 N9776544 N9775998 N9777397 N9779019 N9779185 N9779288
 N9778155 N9779289 N9778645 N9778945 N9779181 N9779227 N9777182 N9779184 N9778813
 N9779355 N9695098 N9779242 N9777636 N9779285"
U1479813	05/24/2023 02:15:08 PM	N9779285 N9779285 N9779289 N9777182 N9717256 N9661024 N9663605 N9775621
U1598988	05/20/2023 08:41:22 PM	N9773465 N9773465 N9774074 N9774120 N9774079 N9774096
U764274	05/21/2023 06:40:56 PM	"N9775256 N9775256 N9775171 N9775183 N9775076 N9772275 N9774826 N9774648 N9747962 N9744403
 N9774555"
U777553	05/21/2023 06:24:43 PM	N9775171 N9775171 N9775256 N9744403 N9747962 N9775183
U869625	05/22/2023 10:47:17 AM	"N9775803 N9775803 N9767490 N9775809 N9775703 N9775881 N9775722 N9695098 N9772300 N9774828
 N9757574 N9775648 N9775752 N9756169 N7460419 N9775776 N9775793 N9775873 N9775850
 N9775824 N9772601 N9770145 N9775388 N9775733 N9774079"
U869625	05/22/2023 10:48:14 AM	N9775873 N9775873 N9775809 N9775776 N9775800 N9756169 N9775703
U978884	05/20/2023 07:30:13 AM	N9772629 N9772629 N9772601 N9772300 N9773282 N9773297 N9773295 N9773290
U980498	05/20/2023 07:26:45 AM	N9755712 N9755712 N9142581 N9488208 N9440508 N9505105
U1542753	05/21/2023 06:14:45 AM	N9767665 N9767665 N9770882 N9772453 N9774074 N9773846 N9774079 N9770028 N9774321
U1542939	05/21/2023 06:13:50 AM	N9774287 N9774287 N9772453 N9773846 N9765941 N9774120 N9774079 N9767665
U1542939	05/21/2023 06:12:29 AM	N9770028 N9770028 N9527358 N8315213 N9774079 N9767665 N9774321 N9774074 N9773846
U1542939	05/21/2023 06:12:18 AM	N9773350 N9773350 N9769531 N9774297 N9771996 N9773857 N9774142
U1932946	05/22/2023 02:34:50 PM	"N9776099 N9776099 N7460419 N9775939 N9775785 N9776184 N9776176 N9776041 N9770792 N9775717
 N9775900 N9773857 N9775673 N9695098 N8918299 N9773275 N9776152 N9775927 N9775964
 N9775855 N9776087 N9776238 N9775881 N9770452"
U1948814	05/22/2023 02:36:08 PM	"N7306652 N7306652 N9775915 N9775800 N9538375 N9772711 N9773617 N9775903 N9775794 N9508202
 N9775900"
U1948814	05/22/2023 02:36:22 PM	N9775900 N9775900 N9508202 N9775909 N9773617 N9770028 N7306652 N9775824
U1948814	05/22/2023 02:39:53 PM	"N9738729 N9738729 N9771113 N9775803 N9775648 N9775752 N9774541 N9774429 N9775850 N9747803
 N9775873 N9775722 N9775388 N9760046"
U1948814	05/22/2023 02:39:03 PM	"N9775733 N9775733 N9776184 N9775894 N9775905 N7460419 N9770145 N9775793 N9775809 N9776041
 N9774828"
U1948814	05/22/2023 02:33:05 PM	N9775785 N9775785 N9776087 N7306652 N9776176 N9508202
U1948814	05/22/2023 02:34:06 PM	N7306652 N7306652 N9508202 N9695098 N9775900 N9775905 N7460419 N9773617
U1948814	05/22/2023 02:36:38 PM	N9769624 N9769624 N7306652 N9775776 N9773617 N9508202 N9775900 N9770145 N9775733 N9775793
U1948814	05/22/2023 02:35:21 PM	N7306652 N7306652 N9775809 N9773617 N9775900 N9767490 N9508202
U1948814	05/22/2023 02:33:22 PM	N7306652 N7306652 N9775703 N9775927 N9775881 N9775855 N9508202
U1948814	05/22/2023 02:35:47 PM	N9508202 N9508202 N9775894 N9775900 N9775809 N7306652 N9773617
U1269670	05/19/2023 05:08:01 AM	"N9771916 N9771916 N9769348 N9771948 N9761926 N9771938 N9771127 N9771919 N9345280 N9771896
 N9771113 N9771627 N9771119 N9770292 N9771187 N7213923 N9769370 N9771787 N9771855"
U1328488	05/21/2023 05:50:48 AM	N9774297 N9774297 N9771996 N9774142 N9773857 N9769531 N9773350
U1514088	05/21/2023 10:47:14 AM	N9774568 N9774568 N9774527 N9773003 N9774430 N9774032 N9774404
U1542939	05/21/2023 10:03:29 AM	N9774382 N9774382 N9142581 N9773887 N9773464 N9774229 N9527358 N9770028 N9774376 N9773985
U1542939	05/21/2023 10:02:33 AM	N9760091 N9760091 N9774506 N9774392 N9774430 N9774517
U1336589	05/21/2023 05:31:34 AM	N9514605 N9514605 N9773295 N9773288 N9774020 N9772193 N8315213
U2020878	05/20/2023 04:55:48 AM	N9773248 N9773248 N9772355 N9756785 N9772300 N9770102 N9773137 N9772635 N9772601 N9773228
U2020878	05/20/2023 04:56:09 AM	N9769504 N9769504 N9769624 N9099237 N9770045 N9773084 N9772485 N9773102
U507022	05/23/2023 12:42:44 PM	"N9777320 N9777320 N9777475 N9776710 N9775908 N9777190 N9777693 N9776420 N9777319 N9777520
 N9777374"
U631807	05/20/2023 04:16:34 PM	N9773700 N9773700 N9773726 N9773744 N9772678 N9773278 N9773711
U2395238	05/22/2023 04:40:24 PM	N9774574 N9774574 N9776315 N9776322 N9775388 N9776234 N9776303 N9776259
U2395238	05/22/2023 04:41:13 PM	"N9776234 N9776234 N9776099 N9775717 N9775855 N9775964 N9776191 N9775056 N9514481 N9776315
 N9776176 N9776259 N9776152 N9776278 N9776184 N9775486 N9695098 N9776041 N9774574
 N9776070 N9775939 N9776238"
U2395238	05/22/2023 04:39:12 PM	N9776303 N9776303 N9776315 N9776234 N9776322 N9726469
U2395238	05/21/2023 04:26:52 PM	N9774532 N9774532 N9769557 N9771992 N9774554 N9770028 N9774542 N9774764 N9532638
U1331854	05/18/2023 05:52:13 PM	N9559980 N9559980 N9771333 N9176353 N9771235 N9771626 N9767470 N9771113 N9440347 N9486080
U1331854	05/18/2023 05:58:44 PM	"N9770369 N9770369 N9769367 N9767903 N9767602 N9766441 N9771254 N9768481 N9767642 N9737062
 N9771325 N9698104 N9769472 N9233208 N9766136 N9486080 N9698639 N9770029 N9770451
 N9769917 N9767557 N9176353 N9440347 N9771330 N9769497 N9559980 N9722687 N9769996"
U1331854	05/18/2023 05:54:59 PM	"N9176353 N9176353 N9486080 N9440347 N9767557 N9771523 N9559980 N9769769 N9768481 N9766136
 N9767602"
U1331854	05/18/2023 05:51:26 PM	N9771686 N9771686 N9771739 N9770082 N9771764 N9771121
U1331854	05/18/2023 05:52:58 PM	"N9440347 N9440347 N9771572 N9771352 N9771579 N9769474 N9695098 N9770283 N9767602 N9768481
 N9768308 N9746360 N9767557 N9769712 N9771224 N9559980 N9766136 N9769432 N9771554
 N9769917 N9771151 N9486080 N9771479 N9176353"
U1439546	05/19/2023 01:04:41 PM	N9772433 N9772433 N9772442 N9772389 N9761859 N9440508 N9771627
U1439546	05/19/2023 01:03:43 PM	N9772344 N9772344 N9772029 N9772380 N9772443 N9772297
U1439546	05/19/2023 01:05:07 PM	"N9772366 N9772366 N9772363 N9772328 N9771568 N9772279 N9695098 N9772407 N9772050 N9772302
 N9771113 N9772284 N9772227 N9440508 N9768308 N9771919 N9746360"
U1439546	05/19/2023 01:03:12 PM	N9772297 N9772297 N9772380 N9772517 N9772029 N9772367
U2414972	05/22/2023 04:49:31 PM	N9776234 N9776234 N9776259 N9776152 N9774574 N9776322 N9776303
U2414972	05/22/2023 04:49:38 PM	N9776303 N9776303 N9776234 N9776259 N9776070 N9776238 N9776152
U2415367	05/21/2023 04:56:32 PM	N9775079 N9775079 N9774899 N9774764 N9774542 N9774580 N9774532 N9774789 N9774972 N9771992
U2415367	05/21/2023 04:58:15 PM	N9774580 N9774580 N9771992 N9774972 N9775079 N9774899 N9774542 N9774532 N9774789
U1500590	05/20/2023 09:00:51 PM	"N9771919 N9771919 N9773987 N9773852 N9773486 N9774013 N9769624 N9774017 N9771903 N9695098
 N9773943 N9773900 N9773962 N9773873 N9774065 N9746360 N9773279 N9773877"
U1500590	05/20/2023 09:03:13 PM	N9538375 N9538375 N9773943 N9773852 N9772659 N9774017 N9773470
U1604401	05/21/2023 06:07:53 PM	N9775183 N9775183 N9774826 N9774648 N9744403 N9775076 N9775142
U1604401	05/21/2023 06:11:12 PM	"N9532638 N9532638 N9770028 N9769557 N9775183 N9695098 N9774764 N9773275 N9775131 N9774580
 N9774826 N9774789 N9775184 N9774899 N9746360 N9773539 N9080070 N9774648 N9774972
 N9771992 N9775076"
U1604401	05/21/2023 06:12:21 PM	"N9774580 N9774580 N9774972 N9760046 N9774554 N9775131 N9775042 N9775184 N9769557 N9538375
 N9770028 N9738729 N9771992 N9775142 N9757574 N9774789 N9774358 N9774840 N9775003
 N9774020 N9774899 N9746360 N9695098"
U1604401	05/21/2023 06:08:49 PM	"N9770028 N9770028 N9775183 N9774972 N9775142 N9120051 N9775076 N9775079 N9774580 N9774789
 N9774648 N9553468 N9774826"
U1604401	05/21/2023 06:10:46 PM	N9532638 N9532638 N9775076 N9774826 N9744403 N9775079 N9774789 N8315213 N9775183
U1604401	05/21/2023 06:56:02 PM	N9747962 N9747962 N9774826 N9772275 N9775171 N9774648 N9744403 N9775183 N9774555
U1873066	05/22/2023 10:25:31 AM	"N9775873 N9775873 N9775850 N9775809 N9775733 N9775824 N7306652 N9775800 N9527795 N9767490
 N9775793 N9142564 N9775803 N9080070 N9775794 N9775776 N9770145"
U1874962	05/22/2023 10:24:13 AM	"N9767490 N9767490 N9775873 N9527795 N9775794 N9775803 N9775800 N9775824 N9770145 N9775809
 N9775733 N9775793 N9775776 N9775850"
U1923897	05/22/2023 12:28:48 PM	"N9775881 N9775881 N9775785 N9775703 N9775915 N9268227 N9775809 N9767490 N9775927 N9775855
 N9775894"
U2010640	05/23/2023 05:16:38 AM	"N9776697 N9776697 N9776566 N9268227 N9775804 N9771995 N9775985 N9776369 N9220931 N9776046
 N9776691 N9759955 N9776570"
U2015664	05/23/2023 05:10:13 AM	"N9776246 N9776246 N9776046 N9776808 N9775985 N9775804 N9771995 N9776566 N9210615 N9776697
 N9776855 N9759955 N9776497 N9776071 N9776715"
U1439546	05/23/2023 12:39:09 PM	N9777374 N9777374 N9776710 N9777693 N9777648 N9777704 N9777190
U1255547	05/20/2023 03:28:00 PM	"N9773461 N9773461 N9755800 N9773275 N9769624 N9773700 N9773543 N9695098 N9566633 N9746360
 N9773673 N9773727 N9746810 N9773744 N9772000 N9773617 N9772659 N9772866 N9773278
 N9773574 N9773638 N9759891 N9772434 N9773644 N9514481 N9755712 N9773539 N9773697
 N9773612"
