N3042022	3439 7022 3439
N3044020	2915
N3081381	4971
N3084181	8324
N3085367	5618
N3182586	6853
N3206668	8232
N3215889	867
N3218932	3740 2785
N3221177	1752
N3237286	6809
N3245987	785
N3985736	7004
N3987251	3133
N4017326	4335
N4097362	2826 3836 7499 7499
N4116265	5612
N4117254	2363 4174
N4128375	387
N4134260	5191
N4142205	668
N4160897	7530
N4179217	3675
N4181949	7499
N4182050	8271
N4195795	3886
N4201861	643
N4222067	7969
N4232214	7908
N4242477	4434
N4259198	3139
N4265498	5310
N4286079	3511 4021
N4288610	7380
N4305440	3740 3740 2909 2909
N4312019	5612 5612 2512
N4326682	2363 2363
N4344511	3379
N4345293	5960
N4403340	5092
N4411390	272 272
N4437767	3500
N4447027	4550 3156 3656
N4451596	25
N4457771	7042
N4467673	272 2190
N4538176	3841
N4558943	5310
N4570153	7389
N4596175	5973
N4613172	2516
N4621280	1929
N4631714	6980
N4729974	3886 7983
N4732111	7499
N4756102	6060
N4756104	3500 7499
N4759090	450 7499 6155
N4761031	2452 2452 2196 2452 6289 5367 5611
N4762858	5871
N4766077	892 2678
N4766263	48 5170
N4771120	4339
N4780924	7363
N4790718	2748
N4792034	3500
N4813032	387
N4815184	3493 8102
N4820813	5551
N4908235	6712
N5006143	1752
N5013800	7964
N5314328	8279
N5384158	6139
N5510409	236
N5747411	1950 7633
N5950877	4552
N5976884	5310
N5996581	7633
N6018488	8149 3903 6201 5310 2766 2766 2766 4109 7986 3139 7499 3787 3787 3787
N6020767	8295
N6112424	3500
N6253615	7235
N6288963	8229 5913
N6316792	5758
N6416684	108
N6512726	1034 8445 4550 6285 4899 4854 4154 1577 1129 1789 471 4881 3019 8418 4639 2324 1928 7075 1818
N6571460	3500 1369 2174 1922 4972 4972 6794 5310 6176 8316 6979 5101 6440 6060 3344 3998 7499 371 1949 5423 36 8424 7836 3185 2446
N6605363	7569
N6648414	6153
N6679300	1957 1424 8439 3265 6008 5337 6471 6298 3833 3964 5846 6712 3167 1957 1424 3265 6008 5337 6471 6298 3833 3964 5846 6712 3167
N6717967	3747 3196 7474 7474 7940 1993 1225 4640 1657 4550 5310 485 7171 5197 878 5742 3462 3462 2298 1577 1328 7499 7882 270 6843 6085 4477 2061 3229 4790 8055 372 4939 1717 4547 6626 2797 6682 4213
N6739176	5310 2374 4873 4873 4873 4873 4698 4574 7187 1524 6682
N6741115	2353 2484 5451 4708 5310 8280 8280 5386 2071 2960 6625 6625 2298 6725 4833 2547 6413 1673 7406 2362 162 7608 2924 3573 4194 7663 1123 5658 7937 2108 4314 796 796 5441 4642 437 8202 5560 546
N6930154	85 5337 7171 8091 4928 6045 1512 7591
N6965775	6846 48
N6994872	1787
N7010192	2820 3880 1519
N7013418	1993 3693 5310 6176 7171 2430 6910 2454 2691 4624 6569 2856 6459 8202 450 92
N7087348	7840
N7175814	5551 5551
N7203547	5310
N7240132	5973
N7291965	8546 3552 474 3269 1577 7499 5171
N7474078	7576 5768
N7475499	4045 5383
N7475645	3195
N7550858	8054 7969 3295
N7605936	908 780 2642 7749 7171 1577 7373 7914 8324
N7607197	1574 7585 6893 5570 1883 2035 7432 2059 529 4161 7288 5367 1333 6337
N7626986	5310
N7629829	4255 5631 7906 4645 904 400 3084 3479 2439 769 3108 2811
N7695717	5310 6091 3886 92
N7730730	4691 7499
N7740927	3860
N7741283	6475
N7769671	7614
N7796356	928
N7799876	6091
N7890739	7731
N7905394	5310 1577
N7907734	4868 8202
N7969642	4498
N7969696	1636 108
N7969718	410 4050
N7969741	2570 4705
N7986352	7499
N8012055	5310
N8040578	2003 8526 5310 2374
N8054212	5310 1015 7499
N8062403	7389 913 4715 4834 8297 1060 7499 2447 6525 2446
N8067106	7389 4756
N8076666	6910
N8076673	7715
N8090056	1169
N8111225	7389
N8113223	4715 1778 6246 2869 4597
N8120363	1577
N8137107	8314 762 1910 78 8469
N8138768	5310 6176 7499 78 4564 1123 2884 5768
N8177436	7499 7499
N8186431	2649
N8213935	5310 1122 6487 3435 169
N8219851	2602 3066 3611 6328 2116
N8222703	5890
N8240861	1572 727
N8256299	2768
N8280503	5762
N8293606	367
N8295308	5869
